YEAR,AGEGRP,STATE,COUNTY,STNAME,CTYNAME,TOT_POP,BAC_MALE,BAC_FEMALE,PCNT_BLACK,Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2,x,y
12,0,45,1,South Carolina,Abbeville,24527,3304,3710,0.28597056305296203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,22,1,Louisiana,Acadia,62045,5791,6108,0.19178015956160852,EVR-Wood Treating/Evangeline Refining Company,48.2,LAN000605517,605517.0,6.0,Louisiana,Jennings,Acadia,NPL Site,30.248056,-92.6175,03/15/2012,09/18/2012,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/06/300063"" target=""_blank"">LAN000605517 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0605517"" target=""_blank"">EVR-Wood Treating/Evangeline Refining Company</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6328.pdf"" target=""_blank"">03/15/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-09-18/pdf/2012-22851.pdf"" target=""_blank"">09/18/2012 (PDF)</a>",,,,No,,,,,553.0,-10310132.938546017,3535475.1457280517
12,0,51,1,Virginia,Accomack,32316,4630,5002,0.29805669018442876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,16,1,Idaho,Ada,481587,5778,4613,0.021576579102010645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,19,1,Iowa,Adair,7152,45,37,0.011465324384787472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,21,1,Kentucky,Adair,19202,433,296,0.03796479533381939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,29,1,Missouri,Adair,25343,546,537,0.04273369372213234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,40,1,Oklahoma,Adair,22194,156,128,0.012796251239073624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,8,1,Colorado,Adams,517421,14327,12744,0.0523190979879054,Sand Creek Industrial,59.65,COD980717953,800260.0,8.0,Colorado,Commerce City,Adams,Deleted NPL Site,39.791669,-104.9361,12/30/1982,09/08/1983,09/29/1994,272.0,08/28/1996,12/20/1996,"<a href=""https://semspub.epa.gov/src/document/08/100000198"" target=""_blank"">COD980717953 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800260"" target=""_blank"">Sand Creek Industrial</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-08-28/pdf/96-21631.pdf"" target=""_blank"">08/28/1996 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-12-20/pdf/96-32089.pdf"" target=""_blank"">12/20/1996 (PDF)</a>",,No,,,,,374.0,-11681433.217832034,4835714.2095680265
12,0,8,1,Colorado,Adams,517421,14327,12744,0.0523190979879054,Woodbury Chemical Co.,44.87,COD980667075,800244.0,8.0,Colorado,Commerce City,Adams,Deleted NPL Site,39.795,-104.9424,12/30/1982,09/08/1983,03/26/1992,75.0,12/29/1992,03/22/1993,"<a href=""https://semspub.epa.gov/src/document/08/100000199"" target=""_blank"">COD980667075 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800244"" target=""_blank"">Woodbury Chemical Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/08/1570683"" target=""_blank"">12/29/1992 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/08/1570782"" target=""_blank"">03/22/1993 (PDF)</a>",,No,,,,,375.0,-11682134.530624036,4836196.803919817
