STNAME,CTYNAME,PCNT_BLACK,Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2,x,y
South Carolina,Abbeville,0.28597056305296203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Acadia,0.19178015956160852,EVR-Wood Treating/Evangeline Refining Company,48.2,LAN000605517,605517.0,6.0,Louisiana,Jennings,Acadia,NPL Site,30.248056,-92.6175,03/15/2012,09/18/2012,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/06/300063"" target=""_blank"">LAN000605517 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0605517"" target=""_blank"">EVR-Wood Treating/Evangeline Refining Company</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6328.pdf"" target=""_blank"">03/15/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-09-18/pdf/2012-22851.pdf"" target=""_blank"">09/18/2012 (PDF)</a>",,,,No,,,,,553.0,-10310132.938546017,3535475.1457280517
Virginia,Accomack,0.29805669018442876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Adams,0.5410354152412602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Aiken,0.2652160681679854,Clearwater Finishing,47.99,SCD003303120,403391.0,4.0,South Carolina,Clearwater,Aiken,NPL Site,33.500907,-81.89213000000001,11/08/2019,09/03/2020,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/11/400006"" target=""_blank"">SCD003303120 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403391"" target=""_blank"">Clearwater Finishing</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2019-11-08/pdf/2019-24154.pdf"" target=""_blank"">11/08/2019 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2020-09-03/pdf/2020-19172.pdf"" target=""_blank"">09/03/2020 (PDF)</a>",,,,No,,,,,1204.0,-9116190.211576562,3961981.297939547
Florida,Alachua,0.22245886345305396,Cabot/Koppers,36.69,FLD980709356,400903.0,4.0,Florida,Gainesville,Alachua,NPL Site,29.675,-82.323061,09/08/1983,09/21/1984,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121438"" target=""_blank"">FLD980709356 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400903"" target=""_blank"">Cabot/Koppers</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,,,,,62.0,-9164161.2310636,3461842.157701432
North Carolina,Alamance,0.22384062203186852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,Albany,0.15863190902960989,"Mercury Refining, Inc.",44.58,NYD048148175,201552.0,2.0,New York,Colonie,Albany,NPL Site,42.689719000000004,-73.80416899999999,12/30/1982,09/08/1983,04/30/2015,1170.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363547"" target=""_blank"">NYD048148175 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201552"" target=""_blank"">Mercury Refining, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,,,,,1535.0,-8215842.511500706,5264862.535262631
Mississippi,Alcorn,0.13189727491678618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Alexander,0.33275473008158307,Ilada Energy Co.,34.21,ILD980996789,500942.0,5.0,Illinois,East Cape Girardeau,Alexander,Deleted NPL Site,37.2584,-89.4635,06/24/1988,10/04/1989,09/28/1999,654.0,11/09/2000,01/08/2001,"<a href=""https://semspub.epa.gov/src/document/05/633397"" target=""_blank"">ILD980996789 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500942"" target=""_blank"">Ilada Energy Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-11-09/pdf/00-28515.pdf"" target=""_blank"">11/09/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-11-09/pdf/00-28514.pdf"" target=""_blank"">01/08/2001 (PDF)</a>",,No,,,,,412.0,-9959031.26458403,4475185.87905903
Virginia,Alexandria,0.24227864616002207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,Allegheny,0.1500536575537912,Lindane Dump,51.62,PAD980712798,301544.0,3.0,Pennsylvania,Harrison Township,Allegheny,NPL Site,40.6257,-79.7155,12/30/1982,09/08/1983,09/27/1999,651.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900304"" target=""_blank"">PAD980712798 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301544"" target=""_blank"">Lindane Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,,,,,1733.0,-8873888.8683312,4957288.280625418
Pennsylvania,Allegheny,0.1500536575537912,Resin Disposal,37.69,PAD063766828,301042.0,3.0,Pennsylvania,Jefferson Borough,Allegheny,Deleted NPL Site,40.2705,-79.9124,12/30/1982,09/08/1983,11/20/1996,412.0,08/22/2003,10/21/2003,"<a href=""https://semspub.epa.gov/src/document/03/900315"" target=""_blank"">PAD063766828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301042"" target=""_blank"">Resin Disposal</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-08-22/pdf/03-21597.pdf"" target=""_blank"">08/22/2003 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-08-22/pdf/03-21596.pdf"" target=""_blank"">10/21/2003 (PDF)</a>",,No,,,,,1744.0,-8895807.676068395,4905328.814999565
Pennsylvania,Allegheny,0.1500536575537912,Ohio River Park,42.24,PAD980508816,301227.0,3.0,Pennsylvania,Neville Island,Allegheny,NPL Site,40.518611,-80.1525,10/26/1989,08/30/1990,09/22/1999,647.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900199"" target=""_blank"">PAD980508816 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301227"" target=""_blank"">Ohio River Park</a>","<a href=""https://semspub.epa.gov/src/document/11/189651"" target=""_blank"">10/26/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,,No,,,,,1004.0,-8922535.48580786,4941594.107739407
Pennsylvania,Allegheny,0.1500536575537912,"Breslube-Penn, Inc",50.0,PAD089667695,301139.0,3.0,Pennsylvania,Coraopolis,Allegheny,NPL Site,40.501389,-80.146389,10/02/1995,06/17/1996,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900225"" target=""_blank"">PAD089667695 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301139"" target=""_blank"">Breslube-Penn, Inc</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24414.pdf"" target=""_blank"">10/02/1995 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15032.pdf"" target=""_blank"">06/17/1996 (PDF)</a>",,,,No,,,,,1115.0,-8921855.212399622,4939072.520289743
Indiana,Allen,0.14226507320082574,Fort Wayne Reduction Dump,42.47,IND980679542,501799.0,5.0,Indiana,Fort Wayne,Allen,NPL Site,41.075,-85.06666899999999,10/15/1984,06/10/1986,09/27/1995,324.0,,,"<a href=""https://semspub.epa.gov/src/document/05/633483"" target=""_blank"">IND980679542 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501799"" target=""_blank"">Fort Wayne Reduction Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",,,,,441.0,-9469578.27655995,5023410.448633106
Louisiana,Allen,0.23803020252077886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Allen,0.14906547078191712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Allendale,0.7341160220994475,Helena Chemical Co. Landfill,33.89,SCD058753971,403309.0,4.0,South Carolina,Fairfax,Allendale,NPL Site,32.9412,-81.23899999999999,06/24/1988,02/21/1990,09/13/1999,628.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121304"" target=""_blank"">SCD058753971 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403309"" target=""_blank"">Helena Chemical Co. Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,,No,,,,,1188.0,-9043484.112554753,3887501.845077196
Virginia,Amelia,0.21506276150627615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Amherst,0.20740389178927385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Amite,0.4044075790843295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Anderson,0.17456234757452185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Anderson,0.2286308131982333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Angelina,0.16440062272963155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
